,Test mAUC,Test medAUC,Test mAUPR,Test wegAUPR,Test medAUPR,Test Accuracy,G Test mAUC,G Test medAUC,G Test mAUPR,G Test wegAUPR,G Test medAUPR,G Test Accuracy,F2_c Test mAUC,F2_c Test medAUC,F2_c Test mAUPR,F2_c Test wegAUPR,F2_c Test medAUPR,F2_c Test Accuracy,F2 Test mAUC,F2 Test medAUC,F2 Test mAUPR,F2 Test wegAUPR,F2 Test medAUPR,F2 Test Accuracy,H Test mAUC,H Test medAUC,H Test mAUPR,H Test wegAUPR,H Test medAUPR,H Test Accuracy,XGB mAUC,XGB medAUC,XGB mAUPR,XGB wegAUPR,XGB medAUPR,XGB Accuracy
10X_pbmc_1k.h5ad,0.9532154869889469,0.9666666666666667,0.777870905994878,0.8471585484337962,0.8333333333333333,0.8037383177570093,0.9526807569089232,0.9594771241830065,0.769963092113083,0.8391047657833557,0.8246615312791783,0.8130841121495327,0.9208041296419991,0.9359649122807017,0.6979358370831545,0.7797179356034204,0.70732356049588,0.7009345794392523,0.9211203455971196,0.9342105263157894,0.683028246848238,0.7755099801199875,0.7102643081524108,0.7289719626168224,0.9309583735595628,0.9183006535947712,0.654985159292652,0.7737533560749117,0.6743241115609537,0.6728971962616822,0.919803807630145,0.9584717607973422,0.7106144222550478,0.8087644690819501,0.7,0.7383177570093458
hao_2020.h5ad,0.9752326882240183,0.9869138813401769,0.752543407629725,0.8295702090730939,0.7395329639666115,0.7990109210797445,0.9739150828140681,0.9852761318628662,0.739933166717401,0.8238474816958429,0.7309456074227985,0.794724912425304,0.9730309679811724,0.9854355023472068,0.740045620678675,0.8254900601467114,0.7340335198873524,0.79723882134762,0.9738114117609409,0.9854918203394654,0.7434517699836035,0.826407620872807,0.7342676616310457,0.7967442818874922,0.9729679835712054,0.9855428110601699,0.7244096514422415,0.8195007778042982,0.7122050187355763,0.7882546878219658,0.9593776859222821,0.9794162979268212,0.7253336749775908,0.8132367423708038,0.7094754006723027,0.7862765299814548
su_2020.h5ad,0.9489067798455305,0.9581999076269532,0.5098349761192432,0.651964308345955,0.5750665401489289,0.618706664442803,0.9473034323510707,0.955754025264397,0.5040874755700627,0.6458756409150845,0.5756979294730211,0.6159188925159046,0.9472022061819391,0.956026862772163,0.5025692400136742,0.6503791422105701,0.5780580570512126,0.6189091948819366,0.9476979912491363,0.9559104861409804,0.5059313335533043,0.6507708574008342,0.5794181978927633,0.6186113560008578,0.9415601926304299,0.9529304090670524,0.4814080396374585,0.6193354899126609,0.5543687808011272,0.5979175105434964,0.9135543808453072,0.9370902463693915,0.47636549738976847,0.6137314496722026,0.5561614490734452,0.5938430746503371
fournie_2020.h5ad,0.9573831033990456,0.9721127074284441,0.8230875563790286,0.871433830746963,0.8637517008470416,0.8345323741007195,0.9556881927011093,0.9755949066339978,0.8149829969199472,0.8695578177006639,0.8826199027791006,0.8405275779376499,0.9554089526788007,0.9748895571147491,0.8091488409686166,0.8669475660077417,0.8920905819596545,0.8273381294964028,0.9575094089046653,0.9742139065226268,0.8166853970887858,0.8734736219569503,0.8906565744364614,0.8333333333333334,0.9516766582588962,0.9725433418717748,0.7947249299922033,0.8570254498576639,0.8743090605282381,0.8237410071942446,0.9487566096912186,0.9638151666685228,0.8141298906496482,0.8718426407232008,0.8892713559377146,0.8621103117505995
granja_2019_bmmc.h5ad,0.9851102758542062,0.9894105037513398,0.8350688747468371,0.9180517928564836,0.8646043411595543,0.8566895822316235,0.9846761493485505,0.9891459581379036,0.8339201762432523,0.9138685316425628,0.8543805117555562,0.8535166578529878,0.985367520300145,0.9903622458781791,0.8451189761566011,0.9184309272021531,0.8568246818261009,0.8688524590163934,0.9843121166792776,0.9887192282449462,0.8338947038233823,0.912217846363967,0.8544947677433241,0.8593336858804865,0.9821163438264671,0.99042872454448,0.7819382743244248,0.8990169891659533,0.836233997633731,0.849286092014807,0.9733701322197668,0.972875891581404,0.8247559804509862,0.9119738728606575,0.874996520212509,0.8693812797461661
10X_malt_10k.h5ad,0.9870445053536877,0.9880660964201801,0.6843495693974534,0.9619762533558929,0.6214156505780093,0.9263074484944532,0.9863342529248106,0.9873675268205213,0.6896190566952235,0.9626629910333993,0.6533846535589358,0.9294770206022187,0.9878571193525968,0.9880967183493369,0.6703892227741061,0.9630384546371684,0.6712391660306352,0.9310618066561014,0.9848923763037715,0.9859808704741473,0.6624540285241535,0.9577256749563573,0.6206238629317113,0.9215530903328051,0.9856832254304885,0.9881710459542334,0.6348973625437221,0.9549894048437184,0.5654355781696236,0.9310618066561014,0.9701100260317471,0.9805694981062771,0.6186128597619126,0.958541744845665,0.5901827849065139,0.9405705229793978
10X_pbmc_5k_nextgem.h5ad,0.9653564063403288,0.9745603218898047,0.7356104559631231,0.8434192172635107,0.8349450422494963,0.7951807228915663,0.9684945269713493,0.9841400375939849,0.7305483021934042,0.8428924024317327,0.7291782316647093,0.8024096385542169,0.9622065450572184,0.9719745541975557,0.7115360230410679,0.8363250767539047,0.7150480262863039,0.8024096385542169,0.9610143935088272,0.981374521383607,0.7176140342115891,0.8341963948598315,0.7333333333333334,0.8060240963855422,0.9677773466516749,0.9871162280701754,0.6955487593325802,0.8432081517641046,0.7814285714285714,0.7867469879518072,0.9483311086356304,0.9649869765578041,0.7334587949644134,0.8507015947552427,0.7981701476184074,0.8120481927710843
granja_2019_pbmc.h5ad,0.9819953767407748,0.9907332527990418,0.8447811400359575,0.912640176907474,0.9036321787136575,0.8820351193156236,0.9814889614066233,0.9894360717331203,0.853770573337926,0.9189700066277741,0.9051574361183152,0.8829356145880234,0.9805755994399876,0.9896693090166515,0.852916053868659,0.9160512612019052,0.8994100824144088,0.880234128770824,0.978912543792877,0.9894021007739051,0.8489637861925534,0.9163910049010499,0.90098288585913,0.8820351193156236,0.9794850799553754,0.9873431327723379,0.8293041434874627,0.90471827586212,0.8877311446825156,0.8640252138676272,0.9556391338002852,0.9862941597578307,0.8371069087364658,0.9143622504549913,0.9051950386185662,0.8815848716794237
stoeckius_2017_cbmc.h5ad,0.9589691867290661,0.9850220986769799,0.7381443231747171,0.9182963478803643,0.8571651367966819,0.897138437741686,0.9522053185487498,0.9857018181184332,0.7397403112731498,0.9144872378896388,0.8574357805653565,0.8932714617169374,0.9723851857514456,0.9802668698645624,0.743154986770655,0.9279211805817046,0.8740019765667004,0.8832173240525909,0.9535860827999334,0.9821771674383319,0.7455913254093252,0.91845056813298,0.8577552734578782,0.8894044856921887,0.9550698722045459,0.9801197234756418,0.6669362371883534,0.903483903230063,0.8372562880636326,0.8839907192575406,0.9255977094794798,0.9658430036434646,0.7266621715034755,0.926397398805233,0.8776570246303209,0.8901778808971385
kotliarov_2020.h5ad,0.9706082558041734,0.9813933342390226,0.7330907480692095,0.8067517647321555,0.801042775411734,0.7764518695306285,0.9698788509649339,0.9799307926826168,0.7263742388072114,0.8026444311335476,0.7752476582717592,0.7677008750994431,0.9707304564055227,0.9814520290096153,0.7356254549281227,0.8086285238043507,0.7967318810946253,0.7772474144789181,0.969732000121721,0.9812246185348091,0.7261418889825919,0.8044916613855889,0.7960928783869738,0.7737242868507785,0.9679593169898141,0.9807185408813793,0.7098990470057646,0.7868581634192794,0.7880485211715881,0.7628139561313786,0.9342398102222522,0.9661691881388362,0.7054028709752608,0.7884100439302062,0.8242647378617327,0.7569041936583703
