,Test mAUC,Test medAUC,Test mAUPR,Test wegAUPR,Test medAUPR,Test Accuracy,G Test mAUC,G Test medAUC,G Test mAUPR,G Test wegAUPR,G Test medAUPR,G Test Accuracy,F2_c Test mAUC,F2_c Test medAUC,F2_c Test mAUPR,F2_c Test wegAUPR,F2_c Test medAUPR,F2_c Test Accuracy,F2 Test mAUC,F2 Test medAUC,F2 Test mAUPR,F2 Test wegAUPR,F2 Test medAUPR,F2 Test Accuracy,H Test mAUC,H Test medAUC,H Test mAUPR,H Test wegAUPR,H Test medAUPR,H Test Accuracy,XGB mAUC,XGB medAUC,XGB mAUPR,XGB wegAUPR,XGB medAUPR,XGB Accuracy
10X_pbmc_1k.h5ad,0.9540009804452588,0.9640350877192982,0.7983255057571679,0.8524179475281858,0.8595177550586007,0.7850467289719626,0.9553408035939176,0.9647058823529412,0.7993463997095734,0.8553522247244502,0.854238563744732,0.8037383177570093,0.9406849924277084,0.9403508771929825,0.7298067617299862,0.8016871855456635,0.7811897692026214,0.719626168224299,0.9549891613854103,0.9596491228070175,0.7533070016573028,0.839714594723857,0.8333333333333333,0.794392523364486,0.9045056523530496,0.919047619047619,0.5578441144706152,0.7254430617505255,0.6752067377067378,0.6355140186915887,0.919803807630145,0.9584717607973422,0.7106144222550478,0.8087644690819501,0.7,0.7383177570093458
hao_2020.h5ad,0.9752398706547238,0.9868716766846685,0.7523379941414017,0.8295634562319847,0.7372984547368996,0.7998763651349681,0.9743736897601074,0.9859790707408957,0.7474143506362307,0.827896620894054,0.7341286426886053,0.798557593241294,0.9731419962552421,0.985618809101323,0.736830986575854,0.8238966845798592,0.7346734482604097,0.797898207294457,0.9641048376631024,0.982160935284003,0.7123799470629553,0.8056143982358139,0.7175667863135051,0.7632804450855141,0.9731350188027743,0.9865322558058156,0.7275286908840496,0.8211851169011248,0.7206686138178358,0.7891613434988667,0.9593776859222821,0.9794162979268212,0.7253336749775908,0.8132367423708038,0.7094754006723027,0.7862765299814548
su_2020.h5ad,0.9492116864220025,0.9577379800725779,0.514603107431166,0.6524797666787867,0.5753951267690455,0.6202673401796565,0.9480384433053163,0.9565790836532504,0.5065788733765706,0.6486254913845817,0.5746975657883056,0.6163716076151445,0.9489301158829002,0.9582529400440203,0.5204363842107406,0.66066388413237,0.586112610869185,0.6271057208892278,0.9463697107090023,0.9558397870092421,0.5019686567635462,0.652297889204447,0.5782403986578246,0.6215778312564035,0.9415760213237229,0.9537469495954909,0.4778674330118175,0.616019293452934,0.5573595261199151,0.5938549882055804,0.9135543808453072,0.9370902463693915,0.47636549738976847,0.6137314496722026,0.5561614490734452,0.5938430746503371
fournie_2020.h5ad,0.9570427785552837,0.9695734491591491,0.8278575697213303,0.8749778669131794,0.8607473289090062,0.8273381294964028,0.9544776479672816,0.9701668584579977,0.8225523941435142,0.8725652185159144,0.8696198775866889,0.8273381294964028,0.9547116820412224,0.9738797935924566,0.816158139046107,0.8678156095468552,0.8967525628938994,0.8393285371702638,0.9475991114376454,0.9710732449790251,0.8038982945451274,0.8591097607450965,0.8802786967308568,0.8489208633093526,0.9524270112352082,0.9714667557634481,0.7944614431331324,0.8523757882104087,0.8319375351074498,0.8225419664268585,0.9487566096912186,0.9638151666685228,0.8141298906496482,0.8718426407232008,0.8892713559377146,0.8621103117505995
granja_2019_bmmc.h5ad,0.9845430754027051,0.9908896034297964,0.8307945914854681,0.9147539759418953,0.8539560067910184,0.8609201480698043,0.985029139167424,0.9903644158628081,0.8245654034253892,0.9132426989638863,0.8230112696166296,0.8572184029613961,0.9860514111084141,0.9919039520388815,0.8515031647607655,0.9191074783315055,0.8635581104558169,0.8508725542041248,0.9812679493013278,0.985091103965702,0.8060085606448484,0.9019294034559807,0.8215847140683694,0.8535166578529878,0.9804924518866949,0.9833547695605573,0.7760327973223784,0.8991841455216486,0.8169663974803798,0.8487572712850344,0.9733701322197668,0.972875891581404,0.8247559804509862,0.9119738728606575,0.874996520212509,0.8693812797461661
10X_malt_10k.h5ad,0.9876196362953172,0.9880257617762438,0.6735075403735608,0.9624199254033919,0.636285214656215,0.9286846275752774,0.9871875953023448,0.9882313602731929,0.6836125062168504,0.962179754003241,0.637358647535415,0.9318541996830428,0.9887651532990298,0.9897142000959054,0.6790970432070867,0.9646909837888862,0.6395229716911996,0.9342313787638669,0.9877986760609702,0.9895274898574202,0.7200164004865884,0.9638339802719258,0.694113659518275,0.9310618066561014,0.9855033586937818,0.988218252710553,0.649584021272629,0.9559349397378287,0.5811694406800376,0.9294770206022187,0.9701100260317471,0.9805694981062771,0.6186128597619126,0.958541744845665,0.5901827849065139,0.9405705229793978
10X_pbmc_5k_nextgem.h5ad,0.9647289377399381,0.9859782030834663,0.7452247850139452,0.8418342314922496,0.8417811050493774,0.8024096385542169,0.9660060365704327,0.9840353040430917,0.7183979638080912,0.8404097947915716,0.8256090608820754,0.7975903614457831,0.9651503349877861,0.9811149328314621,0.7151882590575368,0.8428179135168715,0.7208742310391584,0.8060240963855422,0.9646068473291051,0.9824128755921864,0.7502304494240648,0.8373706327559138,0.7886755622016433,0.7927710843373494,0.9690746176242693,0.9852804359383307,0.6568802477959035,0.8427132275893991,0.6990463971491958,0.7939759036144578,0.9483311086356304,0.9649869765578041,0.7334587949644134,0.8507015947552427,0.7981701476184074,0.8120481927710843
granja_2019_pbmc.h5ad,0.9825761161608467,0.9904159321669102,0.8459656022046357,0.9140700480597543,0.904199888176227,0.879783881134624,0.9820088504655601,0.9904751932591259,0.8457289427613783,0.9136452409464604,0.901223580089712,0.8806843764070239,0.982472800522167,0.9931108721828208,0.8621830443342411,0.9197613393775863,0.9055812083024628,0.8820351193156236,0.9727542694845835,0.9881519552526781,0.8434969995325158,0.9074832772237755,0.8898407296187708,0.8644754615038271,0.9750459496919452,0.987743320581491,0.8247080135398008,0.8995555144327246,0.8825548285319611,0.8631247185952273,0.9556391338002852,0.9862941597578307,0.8371069087364658,0.9143622504549913,0.9051950386185662,0.8815848716794237
stoeckius_2017_cbmc.h5ad,0.9585252201124861,0.9848856213195674,0.7408488537681139,0.9196379269640177,0.860005308866018,0.8986852281515855,0.9545250410440151,0.9834934184270248,0.7352784713190794,0.9146993815974217,0.8531513628448006,0.8940448569218871,0.9673622305090703,0.9854786157302545,0.7421841676776728,0.9265789719258636,0.874084709022916,0.8901778808971385,0.950296254883068,0.9779708592928034,0.7167549198059529,0.9114707086930838,0.8354881684313185,0.8832173240525909,0.9532209325003629,0.9814135200965055,0.6792545264614807,0.9115242482655762,0.8587976142225883,0.8778035576179428,0.9255977094794798,0.9658430036434646,0.7266621715034755,0.926397398805233,0.8776570246303209,0.8901778808971385
kotliarov_2020.h5ad,0.9703756210420189,0.981435513165076,0.7337423414740889,0.8059734674745074,0.8048855955602195,0.7747471303557223,0.9697712266902965,0.9811598784813071,0.7303586167268448,0.80183336943908,0.79626055385317,0.770201159222639,0.9708673411326905,0.9819738792953079,0.7267134179524792,0.8050294525362478,0.8078199972728698,0.7775883623138993,0.9670191155686204,0.9784679970362953,0.7144180628871762,0.7929047883005887,0.7987795645210202,0.7605409705648369,0.9674366567743026,0.9793000764640976,0.7111160826037887,0.7846106436015979,0.7882686192670754,0.7583816342766223,0.9342398102222522,0.9661691881388362,0.7054028709752608,0.7884100439302062,0.8242647378617327,0.7569041936583703
