,cls mAUC,cls medAUC,cls mAUPR,cls wegAUPR,cls medAUPR,cls Accuracy,G mAUC,G medAUC,G mAUPR,G wegAUPR,G medAUPR,G Accuracy,F2_c mAUC,F2_c medAUC,F2_c mAUPR,F2_c wegAUPR,F2_c medAUPR,F2_c Accuracy,F2 mAUC,F2 medAUC,F2 mAUPR,F2 wegAUPR,F2 medAUPR,F2 Accuracy,H mAUC,H medAUC,H mAUPR,H wegAUPR,H medAUPR,H Accuracy,XGB mAUC,XGB medAUC,XGB mAUPR,XGB wegAUPR,XGB medAUPR,XGB Accuracy
10X_pbmc_1k.h5ad,0.9540009804452588,0.9640350877192982,0.7983255057571679,0.8524179475281858,0.8595177550586007,0.7850467289719626,0.9553408035939176,0.9647058823529412,0.7993463997095734,0.8553522247244502,0.854238563744732,0.8037383177570093,0.956197576075957,0.9568627450980391,0.7878713502919972,0.8484032127938618,0.8670036344555123,0.7476635514018691,0.9594943502356743,0.9763157894736841,0.8413799715296711,0.883275889277399,0.8985641673141673,0.8504672897196262,0.9265671418063,0.9476190476190477,0.6647549249272751,0.805868278516646,0.7930002861731023,0.6728971962616822,0.919803807630145,0.9584717607973422,0.7106144222550478,0.8087644690819501,0.7,0.7383177570093458
hao_2020.h5ad,0.9729918068371585,0.9853197459827884,0.7339979608610976,0.8184643754388138,0.7178160211573672,0.7909746548526685,0.9735328000095438,0.9854155267592218,0.7393476732098202,0.8232924627388082,0.7263302512206274,0.7953018751287864,0.9733791428803826,0.9855228319220143,0.7392787860098354,0.8251612383552338,0.729960444903805,0.7925819080980837,0.934382705878735,0.9616669341634058,0.5610950370510639,0.6740405696615892,0.5251041853481104,0.5598598804862971,0.9732580270465598,0.9851790149156775,0.7399643867058058,0.8234953693008212,0.7251948403943315,0.7941891613434988,0.9593776859222821,0.9794162979268212,0.7253336749775908,0.8132367423708038,0.7094754006723027,0.7862765299814548
su_2020.h5ad,0.9420033785448598,0.9537898171135465,0.4820031857371066,0.6241192161810641,0.5467171126847086,0.6002763944816412,0.9448264584646465,0.9552221898245279,0.49416750214450544,0.6428573766983643,0.568278780510419,0.6149658080964522,0.945620101949671,0.9575300804000556,0.4984717507993939,0.6479767393486358,0.5631295825276728,0.6076508851771546,0.9399445648940495,0.9524863652358121,0.4817782799967008,0.6318810664231207,0.5634167590559822,0.5982391765350616,0.950611237366976,0.9593520974319273,0.5179762194414856,0.6600390499182203,0.5844845836570546,0.6267125735662036,0.9135543808453072,0.9370902463693915,0.47636549738976847,0.6137314496722026,0.5561614490734452,0.5938430746503371
fournie_2020.h5ad,0.9587104968553336,0.9753795894123325,0.8258226063057004,0.8786218103129364,0.8856411436465994,0.842925659472422,0.9508776010932569,0.9676652930912871,0.7922451494834297,0.8548809789245574,0.876035179641503,0.8225419664268585,0.9509584569602368,0.9743327022311319,0.805383822669252,0.8587608425641419,0.902270842950398,0.8237410071942446,0.9400883387441156,0.9701228793109848,0.7807463428966163,0.844766264273445,0.8812755422102416,0.8177458033573142,0.951400067692904,0.9722315031369491,0.7983069660844153,0.8590705321891271,0.8800447900337477,0.8225419664268585,0.9487566096912186,0.9638151666685228,0.8141298906496482,0.8718426407232008,0.8892713559377146,0.8621103117505995
granja_2019_bmmc.h5ad,0.9856234839459181,0.9913099664102898,0.8366838103741433,0.9178399835684348,0.8622055149155048,0.8677948175568482,0.9851976279199611,0.9907259909659101,0.8312162005746094,0.9134560869871801,0.8490397068344684,0.8651507139079851,0.9847133936626757,0.9880951259651094,0.8306359327349847,0.9122700497911558,0.8488306985677929,0.849286092014807,0.9782772026952651,0.97994640943194,0.811879722452629,0.894718996738272,0.8216392853861209,0.8376520359598096,0.9814973233142057,0.9850261222271326,0.802636272770562,0.9043896077846696,0.841807236195875,0.8593336858804865,0.9733701322197668,0.972875891581404,0.8247559804509862,0.9119738728606575,0.874996520212509,0.8693812797461661
10X_malt_10k.h5ad,0.9875796814709522,0.9892994368585822,0.644111803452465,0.9560570798057788,0.5690516995666491,0.9255150554675119,0.9875378356503361,0.987523646257461,0.6805995430550141,0.9630622351195219,0.6483250799667144,0.9310618066561014,0.9850717683966687,0.9865881405254557,0.6127987478329732,0.9526416974268942,0.5526911790385285,0.9255150554675119,0.9795999387158009,0.9817744115703086,0.5702581126280056,0.9468845085831116,0.5045913087963321,0.9160063391442155,0.9842519710675764,0.9837469231765772,0.6132255126552099,0.956203036748055,0.653498220949243,0.9215530903328051,0.9701100260317471,0.9805694981062771,0.6186128597619126,0.958541744845665,0.5901827849065139,0.9405705229793978
10X_pbmc_5k_nextgem.h5ad,0.9692463939959548,0.9838406126289831,0.7081453982737571,0.8478063160175687,0.8350000000000001,0.8096385542168675,0.966980002300205,0.9863716010123953,0.7056085710849396,0.8452723982319433,0.81,0.8072289156626506,0.9714081842142496,0.9859822181841781,0.7729149818577918,0.8567065454118734,0.8185402692201693,0.8072289156626506,0.9628501457447082,0.9899322169059012,0.6800737920482617,0.8362180772941854,0.71,0.8060240963855422,0.957648634909074,0.980595427963849,0.6612538597702026,0.822315160235403,0.7080372911872328,0.7795180722891566,0.9483311086356304,0.9649869765578041,0.7334587949644134,0.8507015947552427,0.7981701476184074,0.8120481927710843
granja_2019_pbmc.h5ad,0.9829408992319356,0.9912353577844455,0.8539578528989502,0.9155253563612356,0.9025683177667221,0.8842863574966231,0.9822014674490122,0.9905328190205609,0.8436274970805275,0.9136424174010369,0.9020310120020709,0.8761819000450247,0.9822113190624584,0.9921447173523208,0.8579756452102585,0.9193546072499068,0.9063889507781893,0.8838361098604233,0.9791479184690812,0.9895175757471356,0.825881494971866,0.9051722210258558,0.8872257692134311,0.869878433138226,0.9770017019931381,0.9891248144632647,0.82845167712628,0.9072307435185273,0.8885152603238597,0.8712291760468257,0.9556391338002852,0.9862941597578307,0.8371069087364658,0.9143622504549913,0.9051950386185662,0.8815848716794237
stoeckius_2017_cbmc.h5ad,0.9628027420207883,0.9838185225187754,0.7528294386614721,0.924093830346036,0.8702428838786497,0.8986852281515855,0.9574167332050989,0.9817292564435824,0.7406079808089319,0.9124373777553393,0.8532059885089646,0.9002320185614849,0.9524482137924624,0.9825030259620191,0.7372990923379714,0.9254119547235345,0.8741322895507331,0.8917246713070379,0.9417253969394558,0.9731047610693959,0.7160404383504079,0.9109260802096775,0.8358899075647321,0.8994586233565351,0.9624116934410127,0.9756514589456964,0.7095318421351481,0.9158369857372871,0.8588251201522754,0.8847641144624904,0.9255977094794798,0.9658430036434646,0.7266621715034755,0.926397398805233,0.8776570246303209,0.8901778808971385
kotliarov_2020.h5ad,0.9703979838039204,0.9811217221931507,0.7329390754920606,0.8035867487653836,0.8340112064512137,0.7740652346857597,0.9693801771605716,0.9817322228036514,0.7221492569067629,0.797450892128712,0.8273068583022474,0.766223434481191,0.9695747074933728,0.9810953714642117,0.7279503896506518,0.8035225172396239,0.8267373524703024,0.773042391180816,0.9626559520448082,0.9763129757621934,0.6898977743765097,0.7786280638814261,0.7474118219829068,0.7530401181952494,0.9684646423353299,0.9799186810632884,0.7149536436673117,0.7942325599188621,0.7932303098206515,0.7700875099443119,0.9342398102222522,0.9661691881388362,0.7054028709752608,0.7884100439302062,0.8242647378617327,0.7569041936583703
